,Country,NOC,Population,GDP_per_Capita,Medal
0,Afghanistan,AFG,32526562.0,594.3230812,2
1,Algeria,ALG,39666519.0,4206.031232,15
2,Argentina,ARG,43416755.0,13431.878340000001,259
3,Armenia,ARM,3017712.0,3489.12769,11
4,Australia,AUS,23781169.0,56310.96299,1189
5,Austria,AUT,8611088.0,43774.98517,146
6,Azerbaijan,AZE,9651349.0,5496.34464,26
7,Bahamas,BAH,388019.0,22817.23086,27
8,Bahrain,BRN,1377237.0,22600.2141,1
9,Barbados,BAR,284215.0,15429.34046,1
10,Belarus,BLR,9513000.0,5740.456495,113
11,Belgium,BEL,11285721.0,40324.02777,411
13,Botswana,BOT,2262485.0,6360.138220000001,1
14,Brazil,BRA,207847528.0,8538.589975,431
15,Bulgaria,BUL,7177991.0,6993.477359999999,333
16,Burundi,BDI,11178921.0,277.0683092,1
17,Cameroon,CMR,23344179.0,1217.26067,23
18,Canada,CAN,35851774.0,43248.529910000005,649
19,Chile,CHI,17948141.0,13416.23004,33
20,China,CHN,1371220000.0,8027.6838099999995,807
21,Colombia,COL,48228704.0,6056.147717,19
22,Costa Rica,CRC,4807850.0,11260.09216,4
23,Cote d'Ivoire,CIV,22701556.0,1398.9899580000001,1
24,Croatia,CRO,4224404.0,11535.82936,114
26,Cyprus,CYP,1165300.0,23242.84007,1
27,Czech Republic,CZE,10551219.0,17548.338209999998,56
28,Denmark,DEN,5676002.0,51989.29347,507
29,Djibouti,DJI,887861.0,1945.124293,1
30,Dominican Republic,DOM,10528391.0,6468.473492,6
31,Ecuador,ECU,16144363.0,6205.064145,2
32,Egypt,EGY,91508084.0,3614.7467659999998,28
34,Estonia,EST,1311998.0,17118.5042,39
35,Ethiopia,ETH,99390750.0,619.1694065,45
36,Finland,FIN,5482013.0,42311.03623,456
37,France,FRA,66808385.0,36205.5681,1396
38,Gabon,GAB,1725292.0,8266.445604999999,1
39,Georgia,GEO,3679000.0,3795.9733079999996,25
40,Germany,GER,81413145.0,41313.313989999995,1305
41,Ghana,GHA,27409893.0,1369.7011220000002,16
42,Greece,GRE,10823732.0,18002.23058,148
43,Grenada,GRN,106825.0,9212.020352,1
44,Guatemala,GUA,16342897.0,3903.478856,1
45,Guyana,GUY,767085.0,4127.351018,1
46,Haiti,HAI,10711067.0,818.3432976,8
47,Hong Kong*,HKG,7305700.0,42327.839960000005,4
48,Hungary,HUN,9844686.0,12363.543459999999,1079
49,Iceland,ISL,330823.0,50173.33992,17
50,India,IND,1311050527.0,1598.259034,184
51,Indonesia,INA,257563815.0,3346.487039,38
53,Iraq,IRQ,36423395.0,4943.760388000001,1
54,Ireland,IRL,4640703.0,61133.67243,30
55,Israel,ISR,8380400.0,35728.0935,7
56,Italy,ITA,60802085.0,29957.80432,1296
57,Jamaica,JAM,2725941.0,5232.024582999999,127
58,Japan,JPN,126958472.0,32477.215139999997,788
59,Kazakhstan,KAZ,17544126.0,10509.98107,49
60,Kenya,KEN,46050302.0,1376.7128289999998,93
62,"Korea, South",KOR,50617045.0,27221.52405,529
63,Kuwait,KUW,3892115.0,29300.57558,2
64,Kyrgyzstan,KGZ,5957000.0,1103.215352,3
65,Latvia,LAT,1978440.0,13648.547559999999,20
66,Lebanon,LIB,5850743.0,8047.6450859999995,4
67,Lithuania,LTU,2910199.0,14147.04938,55
68,Luxembourg,LUX,569676.0,101449.9682,2
69,Macedonia,MKD,2078453.0,4852.657848,1
70,Malaysia,MAS,30331007.0,9768.32686,8
71,Mauritius,MRI,1262605.0,9252.110724,1
72,Mexico,MEX,127017224.0,9005.024265,106
73,Moldova,MDA,3554150.0,1848.061804,6
74,Mongolia,MGL,2959134.0,3967.829386,24
75,Morocco,MAR,34377511.0,2878.2013420000003,22
76,Mozambique,MOZ,27977863.0,529.2425561000001,2
77,Namibia,NAM,2458830.0,4673.567247999999,4
78,Netherlands,NED,16936520.0,44299.76809,851
80,New Zealand,NZL,4595700.0,37807.967280000004,190
81,Niger,NIG,19899120.0,358.958152,1
82,Nigeria,NGR,182201962.0,2640.290739,84
83,Norway,NOR,5195921.0,74400.36978,554
84,Pakistan,PAK,188924874.0,1434.696665,121
85,Panama,PAN,3929141.0,13268.11375,3
86,Paraguay,PAR,6639123.0,4080.951448,17
87,Peru,PER,31376670.0,6027.125854999999,15
88,Philippines,PHI,100699395.0,2904.2020820000002,9
89,Poland,POL,37999494.0,12554.54755,511
90,Portugal,POR,10348648.0,19222.15008,33
92,Qatar,QAT,2235355.0,73653.39443,4
93,Russia,RUS,144096812.0,9092.580536,768
94,Saudi Arabia,KSA,31540372.0,20481.745319999998,6
95,Senegal,SEN,15129273.0,899.5798795,1
96,Serbia,SCG,7098247.0,5235.142207,14
97,Singapore,SIN,5535002.0,52888.74467,4
98,Slovakia,SVK,5424050.0,16088.27759,34
99,Slovenia,SLO,2063768.0,20726.53989,26
100,South Africa,RSA,54956920.0,5723.973357,106
101,Spain,ESP,46418269.0,25831.582309999998,442
102,Sri Lanka,SRI,20966000.0,3926.174396,2
103,Sudan,SUD,40234882.0,2414.723601,1
104,Suriname,SUR,542975.0,9485.319244,2
105,Sweden,SWE,9798871.0,50579.67365,1044
106,Switzerland,SUI,8286976.0,80945.07922,380
109,Tajikistan,TJK,8481855.0,925.9118877000001,3
110,Tanzania,TAN,53470420.0,878.9751054999999,2
111,Thailand,THA,67959359.0,5814.769764,25
112,Togo,TOG,7304578.0,559.6358767,1
113,Tonga,TGA,106170.0,4098.5439289999995,1
114,Trinidad and Tobago,TRI,1360088.0,17321.884680000003,20
115,Tunisia,TUN,11107800.0,3872.5120840000004,10
116,Turkey,TUR,78665830.0,9125.687590000001,86
117,Uganda,UGA,39032383.0,705.2925695,7
118,Ukraine,UKR,45198200.0,2114.954716,173
119,United Arab Emirates,UAE,9156963.0,40438.762930000004,1
120,United Kingdom,GBR,65138232.0,43875.96961,1720
121,United States,USA,321418820.0,56115.71842999999,4585
122,Uruguay,URU,3431555.0,15573.900919999998,76
123,Uzbekistan,UZB,31299500.0,2132.070368,20
125,Vietnam,VIE,91703800.0,2111.138024,2
127,Zambia,ZAM,16211767.0,1304.879014,2
128,Zimbabwe,ZIM,15602751.0,924.1438193,23
