,NOC,Medal
0,AFG,2
1,AHO,1
2,ALG,15
3,ANZ,29
4,ARG,259
5,ARM,11
6,AUS,1189
7,AUT,146
8,AZE,26
9,BAH,27
10,BAR,1
11,BDI,1
12,BEL,411
13,BER,1
14,BLR,113
15,BOH,7
16,BOT,1
17,BRA,431
18,BRN,1
19,BUL,333
20,BWI,5
21,CAN,649
22,CHI,33
23,CHN,807
24,CIV,1
25,CMR,23
26,COL,19
27,CRC,4
28,CRO,114
29,CUB,410
30,CYP,1
31,CZE,56
32,DEN,507
33,DJI,1
34,DOM,6
35,ECU,2
36,EGY,28
37,ERI,1
38,ESP,442
39,EST,39
40,ETH,45
41,EUA,260
42,EUN,223
43,FIN,456
44,FRA,1396
45,FRG,490
46,GAB,1
47,GBR,1720
48,GDR,825
49,GEO,25
50,GER,1305
51,GHA,16
52,GRE,148
53,GRN,1
54,GUA,1
55,GUY,1
56,HAI,8
57,HKG,4
58,HUN,1079
59,INA,38
60,IND,184
61,IOP,3
62,IRI,61
63,IRL,30
64,IRQ,1
65,ISL,17
66,ISR,7
67,ISV,1
68,ITA,1296
69,JAM,127
70,JPN,788
71,KAZ,49
72,KEN,93
73,KGZ,3
74,KOR,529
75,KSA,6
76,KUW,2
77,LAT,20
78,LIB,4
79,LTU,55
80,LUX,2
81,MAR,22
82,MAS,8
83,MDA,6
84,MEX,106
85,MGL,24
86,MKD,1
87,MNE,14
88,MOZ,2
89,MRI,1
90,NAM,4
91,NED,851
92,NGR,84
93,NIG,1
94,NOR,554
95,NZL,190
96,PAK,121
97,PAN,3
98,PAR,17
99,PER,15
100,PHI,9
101,POL,511
102,POR,33
103,PRK,58
104,PUR,8
105,QAT,4
106,ROU,640
107,RSA,106
108,RU1,17
109,RUS,768
110,SCG,14
111,SEN,1
112,SGP,4
113,SIN,4
114,SLO,26
115,SRB,31
116,SRI,2
117,SUD,1
118,SUI,380
119,SUR,2
120,SVK,34
121,SWE,1044
122,SYR,3
123,TAN,2
124,TCH,329
125,TGA,1
126,THA,25
127,TJK,3
128,TOG,1
129,TPE,44
130,TRI,20
131,TTO,10
132,TUN,10
133,TUR,86
134,UAE,1
135,UGA,7
136,UKR,173
137,URS,2049
138,URU,76
139,USA,4585
140,UZB,20
141,VEN,12
142,VIE,2
143,YUG,435
144,ZAM,2
145,ZIM,23
146,ZZX,48
